,LATITUDE,LONGITUDE,EXCEED_SPEED_LIMIT_I
10601,41.882440549,-87.757730675,Y
12123,41.780097846,-87.63007688399999,Y
12126,41.780097846,-87.63007688399999,Y
12129,41.780097846,-87.63007688399999,Y
12924,41.701867005,-87.603969985,Y
13105,41.76390822,-87.654229704,Y
13107,41.76390822,-87.654229704,Y
13841,41.891953337,-87.71126608600001,N
13936,41.940943772,-87.783465207,Y
13960,41.970552456,-87.727947435,Y
13962,41.970552456,-87.727947435,Y
14109,41.724060235,-87.590708679,N
14111,41.724060235,-87.590708679,N
14113,41.724060235,-87.590708679,N
14115,41.724060235,-87.590708679,N
15774,41.852537143,-87.646464504,Y
15776,41.852537143,-87.646464504,Y
16195,41.748693071,-87.660068028,Y
16197,41.748693071,-87.660068028,Y
16715,41.780024741,-87.63000416700001,Y
17168,41.909656501,-87.735555547,N
17171,41.909656501,-87.735555547,N
17174,41.909656501,-87.735555547,N
17714,41.794915741,-87.630376665,Y
17716,41.794915741,-87.630376665,Y
17718,41.794915741,-87.630376665,Y
17720,41.794915741,-87.630376665,Y
20454,41.834849748,-87.67060754200001,Y
20456,41.834849748,-87.67060754200001,Y
20458,41.834849748,-87.67060754200001,Y
20615,41.809158319,-87.63071716299999,N
20617,41.809158319,-87.63071716299999,N
20949,41.73637382,-87.627231565,N
20950,41.73637382,-87.627231565,N
20951,41.73637382,-87.627231565,N
20952,41.73637382,-87.627231565,N
21029,41.877032279,-87.721469096,Y
21031,41.877032279,-87.721469096,Y
21033,41.877032279,-87.721469096,Y
21418,41.764007749,-87.722499108,Y
21419,41.764007749,-87.722499108,Y
21991,41.721549535,-87.62872315799999,Y
21994,41.721549535,-87.62872315799999,Y
21997,41.721549535,-87.62872315799999,Y
22798,41.893129664,-87.63546666,Y
22826,41.699968255,-87.614934941,Y
22828,41.699968255,-87.614934941,Y
22830,41.699968255,-87.614934941,Y
22832,41.699968255,-87.614934941,Y
22834,41.699968255,-87.614934941,Y
22836,41.699968255,-87.614934941,Y
23126,41.894683553,-87.634076833,N
23128,41.894683553,-87.634076833,N
23130,41.894683553,-87.634076833,N
23132,41.894683553,-87.634076833,N
23477,41.882007736999995,-87.738159666,Y
23685,41.881815247,-87.739995505,Y
23687,41.881815247,-87.739995505,Y
23689,41.881815247,-87.739995505,Y
23691,41.881815247,-87.739995505,Y
23977,41.885468411,-87.745334265,Y
23979,41.885468411,-87.745334265,Y
23981,41.885468411,-87.745334265,Y
23983,41.885468411,-87.745334265,Y
24944,41.896669492,-87.63670982200001,Y
24947,41.896669492,-87.63670982200001,Y
24950,41.896669492,-87.63670982200001,Y
25290,41.906250266,-87.726556774,Y
25292,41.906250266,-87.726556774,Y
25294,41.906250266,-87.726556774,Y
25296,41.906250266,-87.726556774,Y
25298,41.906250266,-87.726556774,Y
25481,41.710388074,-87.650367635,Y
25483,41.710388074,-87.650367635,Y
25485,41.710388074,-87.650367635,Y
25686,41.939866822,-87.653957224,N
25688,41.939866822,-87.653957224,N
26911,41.775562728000004,-87.576444451,Y
26913,41.775562728000004,-87.576444451,Y
26915,41.775562728000004,-87.576444451,Y
26917,41.775562728000004,-87.576444451,Y
26919,41.775562728000004,-87.576444451,Y
26921,41.775562728000004,-87.576444451,Y
26923,41.775562728000004,-87.576444451,Y
26925,41.775562728000004,-87.576444451,Y
28156,41.791420282,-87.58014776899999,Y
28158,41.791420282,-87.58014776899999,Y
28160,41.791420282,-87.58014776899999,Y
28162,41.791420282,-87.58014776899999,Y
28169,41.754159326,-87.64408834700001,Y
28171,41.754159326,-87.64408834700001,Y
28213,41.677719693,-87.656583145,Y
28215,41.677719693,-87.656583145,Y
29227,41.797963108000005,-87.69255022200001,Y
29229,41.797963108000005,-87.69255022200001,Y
29319,41.653902095,-87.59706604799999,N
30814,41.779570436,-87.664293875,N
30817,41.779570436,-87.664293875,N
30820,41.779570436,-87.664293875,N
30823,41.779570436,-87.664293875,N
31388,41.938965126,-87.744778607,Y
31389,41.938965126,-87.744778607,Y
31598,41.877476961999996,-87.68619603,Y
31600,41.877476961999996,-87.68619603,Y
32025,41.780552153,-87.584743303,N
32028,41.780552153,-87.584743303,N
32031,41.780552153,-87.584743303,N
32034,41.780552153,-87.584743303,N
32071,41.876089738000005,-87.696217119,Y
32073,41.876089738000005,-87.696217119,Y
32075,41.876089738000005,-87.696217119,Y
32806,41.807348414,-87.62455051299999,Y
32808,41.807348414,-87.62455051299999,Y
33106,41.898713921,-87.753396535,N
33111,41.898713921,-87.753396535,N
33116,41.898713921,-87.753396535,N
33121,41.898713921,-87.753396535,N
33126,41.898713921,-87.753396535,N
33800,41.972881195999996,-87.691263014,N
33804,41.972881195999996,-87.691263014,N
34118,41.91386728,-87.652929691,N
34120,41.91386728,-87.652929691,N
34364,41.875097292,-87.678484605,Y
34366,41.875097292,-87.678484605,Y
34545,41.747603143,-87.562379417,Y
34549,41.747603143,-87.562379417,Y
34603,41.937885194,-87.806889876,Y
34605,41.937885194,-87.806889876,Y
34608,41.768635386,-87.644355311,N
34611,41.768635386,-87.644355311,N
34614,41.768635386,-87.644355311,N
34617,41.768635386,-87.644355311,N
34620,41.768635386,-87.644355311,N
34623,41.768635386,-87.644355311,N
34673,41.7423299,-87.58591564299999,Y
34675,41.7423299,-87.58591564299999,Y
34703,41.765398585999996,-87.626695501,Y
34705,41.765398585999996,-87.626695501,Y
34707,41.765398585999996,-87.626695501,Y
34709,41.765398585999996,-87.626695501,Y
34711,41.765398585999996,-87.626695501,Y
34771,41.78751912,-87.622849178,Y
36111,41.681097469,-87.641872476,Y
36113,41.681097469,-87.641872476,Y
36114,41.933869665,-87.71709413399999,Y
36133,41.926396813000004,-87.650746188,N
36135,41.926396813000004,-87.650746188,N
37846,41.690742007,-87.600677902,Y
37848,41.690742007,-87.600677902,Y
38135,41.943214343,-87.685876596,Y
38137,41.943214343,-87.685876596,Y
38139,41.943214343,-87.685876596,Y
38507,41.659213446,-87.61732215100001,Y
38543,41.750965678,-87.625974359,N
38547,41.750965678,-87.625974359,N
38551,41.750965678,-87.625974359,N
38555,41.750965678,-87.625974359,N
38559,41.750965678,-87.625974359,N
38563,41.750965678,-87.625974359,N
38567,41.750965678,-87.625974359,N
38571,41.750965678,-87.625974359,N
39071,41.768702314,-87.66109812200001,N
39073,41.768702314,-87.66109812200001,N
39075,41.768702314,-87.66109812200001,N
39158,41.743398158000005,-87.63425177399999,Y
39160,41.743398158000005,-87.63425177399999,Y
39497,41.823879687,-87.622029246,Y
39499,41.823879687,-87.622029246,Y
40849,41.854517287,-87.72509490200001,Y
40852,41.854517287,-87.72509490200001,Y
40855,41.854517287,-87.72509490200001,Y
40858,41.854517287,-87.72509490200001,Y
41104,41.777764869,-87.609376168,N
41107,41.735696989000004,-87.663209544,Y
41109,41.735696989000004,-87.663209544,Y
41241,41.881419551,-87.75035622600001,Y
41243,41.881419551,-87.75035622600001,Y
41245,41.881419551,-87.75035622600001,Y
41247,41.881419551,-87.75035622600001,Y
41249,41.881419551,-87.75035622600001,Y
41251,41.881419551,-87.75035622600001,Y
41627,41.838453548000004,-87.608467226,Y
41629,41.838453548000004,-87.608467226,Y
41845,41.748280658,-87.67529603700001,Y
41847,41.748280658,-87.67529603700001,Y
42246,41.945995334,-87.748603715,Y
42740,41.873845896,-87.686381294,N
42742,41.873845896,-87.686381294,N
42917,41.692476323,-87.622841917,Y
42919,41.692476323,-87.622841917,Y
42921,41.692476323,-87.622841917,Y
43075,41.8808343,-87.72579659700001,N
43077,41.8808343,-87.72579659700001,N
43264,41.969969204,-87.726805168,Y
43266,41.969969204,-87.726805168,Y
43309,41.87682363,-87.686179405,Y
43311,41.87682363,-87.686179405,Y
43355,41.783181180999996,-87.651372995,Y
43357,41.783181180999996,-87.651372995,Y
43359,41.783181180999996,-87.651372995,Y
43408,41.778141071,-87.761865711,Y
43411,41.778141071,-87.761865711,Y
43414,41.778141071,-87.761865711,Y
43955,41.685422566999996,-87.623665642,Y
44187,41.794163023,-87.663314634,N
44189,41.794163023,-87.663314634,N
44191,41.794163023,-87.663314634,N
45138,41.8445843,-87.69535984299999,N
45140,41.8445843,-87.69535984299999,N
45142,41.8445843,-87.69535984299999,N
45144,41.8445843,-87.69535984299999,N
45286,41.869884981,-87.711308899,Y
45288,41.869884981,-87.711308899,Y
45290,41.869884981,-87.711308899,Y
45292,41.869884981,-87.711308899,Y
45847,41.765441100000004,-87.636309709,Y
45849,41.765441100000004,-87.636309709,Y
45851,41.765441100000004,-87.636309709,Y
46620,41.876083721,-87.69660853,Y
46622,41.876083721,-87.69660853,Y
47691,41.813683626,-87.690637775,Y
47693,41.813683626,-87.690637775,Y
47695,41.813683626,-87.690637775,Y
47782,41.780503236,-87.577547876,N
47784,41.780503236,-87.577547876,N
47786,41.780503236,-87.577547876,N
47788,41.780503236,-87.577547876,N
47803,41.93883817,-87.75451981799999,Y
47805,41.93883817,-87.75451981799999,Y
48034,41.951173034,-87.78662912,Y
48036,41.951173034,-87.78662912,Y
48038,41.951173034,-87.78662912,Y
49802,41.778324767,-87.647325411,Y
50176,41.800292108,-87.728412355,N
50179,41.800292108,-87.728412355,N
51073,41.802141138,-87.73449988799999,Y
51074,41.802141138,-87.73449988799999,Y
51075,41.802141138,-87.73449988799999,Y
51086,41.893764765,-87.71348749399999,Y
51995,41.873713014,-87.70606475700001,Y
51997,41.873713014,-87.70606475700001,Y
52442,41.96078166,-87.732791991,Y
52444,41.96078166,-87.732791991,Y
52446,41.96078166,-87.732791991,Y
52448,41.96078166,-87.732791991,Y
52497,41.770562043000005,-87.644697223,Y
52499,41.770562043000005,-87.644697223,Y
52517,41.912627524,-87.763261766,Y
52546,41.875037882,-87.668444492,Y
52548,41.875037882,-87.668444492,Y
52550,41.875037882,-87.668444492,Y
54182,41.77857237,-87.72779035100001,Y
54184,41.77857237,-87.72779035100001,Y
54623,41.766373506,-87.57379677700001,Y
54625,41.766373506,-87.57379677700001,Y
54961,41.850113846,-87.623882674,Y
54963,41.850113846,-87.623882674,Y
55967,41.917276738000005,-87.726500455,Y
55969,41.917276738000005,-87.726500455,Y
55971,41.917276738000005,-87.726500455,Y
55973,41.917276738000005,-87.726500455,Y
58201,41.891937229,-87.711181809,Y
58203,41.891937229,-87.711181809,Y
58205,41.891937229,-87.711181809,Y
58678,41.894078034,-87.63571589200001,Y
58681,41.894078034,-87.63571589200001,Y
58684,41.894078034,-87.63571589200001,Y
58687,41.894078034,-87.63571589200001,Y
58690,41.894078034,-87.63571589200001,Y
59044,41.895615314000004,-87.706705325,Y
60368,41.786644454,-87.681599371,N
60408,41.874416945,-87.720546199,Y
60409,41.874416945,-87.720546199,Y
60410,41.874416945,-87.720546199,Y
61003,41.880578076,-87.728849528,N
61005,41.880578076,-87.728849528,N
61007,41.880578076,-87.728849528,N
62600,41.83024245,-87.63163855,Y
62603,41.83024245,-87.63163855,Y
62606,41.83024245,-87.63163855,Y
62609,41.83024245,-87.63163855,Y
62612,41.83024245,-87.63163855,Y
65261,41.866655357,-87.68618668799999,N
65263,41.866655357,-87.68618668799999,N
65265,41.779899748000005,-87.64218588899999,N
65267,41.779899748000005,-87.64218588899999,N
65269,41.779899748000005,-87.64218588899999,N
65271,41.779899748000005,-87.64218588899999,N
65273,41.779899748000005,-87.64218588899999,N
65459,41.778631379000004,-87.74244577200001,N
65461,41.778631379000004,-87.74244577200001,N
65463,41.778631379000004,-87.74244577200001,N
65549,41.780380787,-87.604793541,N
65551,41.780380787,-87.604793541,N
65553,41.780380787,-87.604793541,N
67762,41.685581178,-87.608207115,Y
67763,41.685581178,-87.608207115,N
67765,41.685581178,-87.608207115,Y
67766,41.685581178,-87.608207115,N
67768,41.685581178,-87.608207115,Y
67769,41.685581178,-87.608207115,N
68737,41.893339788,-87.761924181,Y
68742,41.893339788,-87.761924181,Y
70611,41.895550848,-87.745675204,Y
70649,41.797275558,-87.70372408899999,Y
70704,41.834634159000004,-87.64390717799999,Y
70763,41.842602526,-87.705127811,Y
70765,41.842602526,-87.705127811,Y
70767,41.842602526,-87.705127811,Y
70977,41.937974726,-87.800749785,Y
71162,41.686704315,-87.61137985100001,Y
71163,41.686704315,-87.61137985100001,Y
71164,41.686704315,-87.61137985100001,Y
72053,41.862368693,-87.718814956,N
72055,41.862368693,-87.718814956,N
72106,41.783644757,-87.62298666299999,Y
72110,41.783644757,-87.62298666299999,Y
72114,41.783644757,-87.62298666299999,Y
72118,41.783644757,-87.62298666299999,Y
72122,41.783644757,-87.62298666299999,Y
73086,41.882065245999996,-87.733190784,Y
73089,41.882065245999996,-87.733190784,Y
73092,41.882065245999996,-87.733190784,Y
73095,41.882065245999996,-87.733190784,Y
73244,41.862974719,-87.71414007,Y
73246,41.862974719,-87.71414007,Y
73248,41.862974719,-87.71414007,Y
75763,41.916733518,-87.726690041,Y
75765,41.916733518,-87.726690041,Y
75767,41.916733518,-87.726690041,Y
75769,41.916733518,-87.726690041,Y
75771,41.916733518,-87.726690041,Y
76216,41.815442271,-87.665289019,N
76218,41.815442271,-87.665289019,N
76220,41.815442271,-87.665289019,N
76988,41.865685585,-87.619659125,N
76990,41.865685585,-87.619659125,N
77003,41.736963126999996,-87.57586270799999,N
77005,41.736963126999996,-87.57586270799999,N
77007,41.736963126999996,-87.57586270799999,N
77009,41.736963126999996,-87.57586270799999,N
77011,41.736963126999996,-87.57586270799999,N
78706,41.794892074,-87.602489279,N
78708,41.794892074,-87.602489279,N
78997,41.735894271999996,-87.643416046,N
79202,41.775378622,-87.661813825,N
79282,41.775749246,-87.576268787,Y
79284,41.775749246,-87.576268787,Y
79286,41.775749246,-87.576268787,Y
79761,41.760422891,-87.72240628,Y
79762,41.760422891,-87.72240628,Y
79809,41.77937222,-87.66436534700001,Y
79813,41.77937222,-87.66436534700001,Y
79817,41.77937222,-87.66436534700001,Y
79821,41.77937222,-87.66436534700001,Y
79825,41.77937222,-87.66436534700001,Y
79829,41.77937222,-87.66436534700001,Y
80764,41.931374092,-87.767038557,N
80766,41.931374092,-87.767038557,N
80962,41.793533064,-87.615803055,Y
80964,41.793533064,-87.615803055,Y
81033,41.684875077,-87.64950407200001,N
81580,41.920676631,-87.77563026899999,Y
81582,41.920676631,-87.77563026899999,Y
81584,41.920676631,-87.77563026899999,Y
82133,41.921723514,-87.697468479,N
82135,41.921723514,-87.697468479,N
82383,41.952212685,-87.834195175,N
82385,41.952212685,-87.834195175,N
82629,41.73823713,-87.614719741,Y
82630,41.73823713,-87.614719741,N
82631,41.73823713,-87.614719741,Y
82632,41.73823713,-87.614719741,N
83037,41.949143909,-87.64314176799999,Y
83152,41.890110854,-87.71275968200001,Y
83154,41.890110854,-87.71275968200001,Y
83208,41.910123741,-87.71345476299999,Y
83212,41.910123741,-87.71345476299999,Y
83715,41.80874712,-87.650542625,Y
83717,41.80874712,-87.650542625,Y
83921,41.891698706999996,-87.714921948,Y
84377,41.751054974,-87.60260373,N
84381,41.751054974,-87.60260373,N
84385,41.751054974,-87.60260373,N
84389,41.751054974,-87.60260373,N
86839,41.922323564,-87.75624062899999,N
86842,41.922323564,-87.75624062899999,N
86845,41.922323564,-87.75624062899999,N
87504,41.749833723,-87.562707476,Y
87506,41.749833723,-87.562707476,Y
87737,41.750954657,-87.618069103,N
87739,41.750954657,-87.618069103,N
87741,41.750954657,-87.618069103,N
88126,41.874347617,-87.725296359,Y
88128,41.874347617,-87.725296359,Y
88910,41.867544428,-87.62556861899999,Y
88912,41.867544428,-87.62556861899999,Y
88914,41.867544428,-87.62556861899999,Y
90980,41.899342685,-87.618553339,Y
90982,41.899342685,-87.618553339,Y
92715,41.825198904000004,-87.704623701,Y
92887,41.744030464,-87.590761364,N
94564,41.704570092,-87.55478915799999,N
94812,41.69616302,-87.62094818700001,Y
94814,41.69616302,-87.62094818700001,Y
94816,41.69616302,-87.62094818700001,Y
94818,41.69616302,-87.62094818700001,Y
94820,41.69616302,-87.62094818700001,Y
94822,41.69616302,-87.62094818700001,Y
94824,41.69616302,-87.62094818700001,Y
94870,41.793591294,-87.664427637,Y
94873,41.793591294,-87.664427637,Y
94876,41.793591294,-87.664427637,Y
95697,41.696295301999996,-87.681153002,Y
95702,41.696295301999996,-87.681153002,Y
95707,41.696295301999996,-87.681153002,Y
95922,41.853838693,-87.69442001200001,Y
96345,41.876536372,-87.700936545,N
96348,41.876536372,-87.700936545,N
96351,41.876536372,-87.700936545,N
96354,41.876536372,-87.700936545,N
97124,41.750451293000005,-87.663294575,Y
97129,41.838032665,-87.638741824,Y
97131,41.838032665,-87.638741824,Y
97133,41.838032665,-87.638741824,Y
97250,41.746622063000004,-87.66348933299999,Y
97252,41.746622063000004,-87.66348933299999,Y
97844,41.944215369,-87.73201757,Y
97846,41.944215369,-87.73201757,Y
99535,41.766360561999996,-87.57523011200001,Y
99537,41.766360561999996,-87.57523011200001,Y
100464,41.990336639,-87.707534415,Y
100465,41.990336639,-87.707534415,Y
100466,41.990336639,-87.707534415,Y
101694,41.649001164,-87.61708109,N
101709,41.929920511,-87.632300696,Y
101711,41.929920511,-87.632300696,Y
101713,41.929920511,-87.632300696,Y
101730,41.938107643,-87.806598945,Y
102102,41.859101939,-87.71356278299999,Y
102104,41.859101939,-87.71356278299999,Y
102106,41.859101939,-87.71356278299999,Y
102647,41.864336374000004,-87.720205333,Y
102649,41.864336374000004,-87.720205333,Y
102713,41.692239598,-87.64307595,Y
102714,41.983648245,-87.816879479,Y
102716,41.983648245,-87.816879479,Y
102718,41.983648245,-87.816879479,Y
102792,41.89740305,-87.775075286,Y
102934,41.751579127,-87.570957959,Y
102936,41.751579127,-87.570957959,Y
102938,41.751579127,-87.570957959,Y
103390,41.823682266999995,-87.620250432,N
103392,41.823682266999995,-87.620250432,N
104165,42.000205001,-87.66055513,Y
104167,42.000205001,-87.66055513,Y
104481,41.910118279,-87.68706776799999,N
104484,41.910118279,-87.68706776799999,N
104487,41.910118279,-87.68706776799999,N
104490,41.910118279,-87.68706776799999,N
104493,41.910118279,-87.68706776799999,N
104496,41.910118279,-87.68706776799999,N
104499,41.910118279,-87.68706776799999,N
104502,41.910118279,-87.68706776799999,N
104505,41.910118279,-87.68706776799999,N
104508,41.910118279,-87.68706776799999,N
104511,41.910118279,-87.68706776799999,N
104514,41.910118279,-87.68706776799999,N
105836,41.881081161,-87.70624411899999,Y
105838,41.881081161,-87.70624411899999,Y
105840,41.881081161,-87.70624411899999,Y
105842,41.881081161,-87.70624411899999,Y
105844,41.881081161,-87.70624411899999,Y
105846,41.881081161,-87.70624411899999,Y
105848,41.881081161,-87.70624411899999,Y
106634,41.891097119,-87.645914755,N
106636,41.891097119,-87.645914755,N
106841,41.77225761,-87.65324067700001,Y
106843,41.77225761,-87.65324067700001,Y
106845,41.77225761,-87.65324067700001,Y
106847,41.77225761,-87.65324067700001,Y
106849,41.77225761,-87.65324067700001,Y
106851,41.77225761,-87.65324067700001,Y
106853,41.77225761,-87.65324067700001,Y
107000,41.90248428,-87.73115787399999,Y
107002,41.90248428,-87.73115787399999,Y
107920,41.879455593,-87.757526702,N
108781,41.647364706,-87.617088603,Y
108782,41.647364706,-87.617088603,N
108783,41.647364706,-87.617088603,Y
108784,41.647364706,-87.617088603,N
109568,41.875284201,-87.66675490200001,N
109570,41.875284201,-87.66675490200001,N
109949,41.81916348,-87.636308156,Y
110023,41.911304488,-87.62587860299999,Y
110025,41.911304488,-87.62587860299999,Y
110027,41.911304488,-87.62587860299999,Y
110686,41.826040017,-87.6849674,Y
110689,41.826040017,-87.6849674,Y
110692,41.826040017,-87.6849674,Y
110695,41.826040017,-87.6849674,Y
110698,41.826040017,-87.6849674,Y
110701,41.826040017,-87.6849674,Y
110704,41.826040017,-87.6849674,Y
111541,41.723811155,-87.61404622799999,N
111576,41.727560814,-87.594974152,Y
111578,41.727560814,-87.594974152,Y
111596,41.874048188,-87.669330815,Y
111598,41.874048188,-87.669330815,Y
111600,41.874048188,-87.669330815,Y
111658,41.929052918000004,-87.72704767299999,Y
111660,41.929052918000004,-87.72704767299999,Y
111662,41.929052918000004,-87.72704767299999,Y
111738,41.691936609,-87.67204744799999,N
111740,41.691936609,-87.67204744799999,N
111742,41.691936609,-87.67204744799999,N
113440,41.736145128000004,-87.62691784399999,N
113442,41.736145128000004,-87.62691784399999,N
113444,41.736145128000004,-87.62691784399999,N
113674,41.891024513000005,-87.625290151,Y
113676,41.891024513000005,-87.625290151,Y
113678,41.891024513000005,-87.625290151,Y
113801,41.757299588,-87.618144874,Y
113803,41.757299588,-87.618144874,Y
113805,41.757299588,-87.618144874,Y
113807,41.757299588,-87.618144874,Y
113809,41.757299588,-87.618144874,Y
113836,41.759368396,-87.663785716,Y
113839,41.759368396,-87.663785716,Y
113842,41.759368396,-87.663785716,Y
113845,41.759368396,-87.663785716,Y
113848,41.759368396,-87.663785716,Y
114079,41.821815681,-87.631011322,Y
114081,41.821815681,-87.631011322,Y
114083,41.821815681,-87.631011322,Y
114085,41.821815681,-87.631011322,Y
114087,41.821815681,-87.631011322,Y
114122,41.892593226,-87.624334048,Y
114124,41.892593226,-87.624334048,Y
114126,41.892593226,-87.624334048,Y
114315,41.775064311,-87.58609085200001,Y
114679,41.75599579,-87.64432823899999,Y
114682,41.75599579,-87.64432823899999,Y
114685,41.75599579,-87.64432823899999,Y
114863,41.930146631,-87.708938476,Y
114865,41.930146631,-87.708938476,Y
117836,41.741274035,-87.632125341,Y
117838,41.741274035,-87.632125341,Y
117840,41.741274035,-87.632125341,Y
118668,41.873423667,-87.725264975,Y
118758,41.804237334,-87.61660599,N
118759,41.804237334,-87.61660599,N
119510,41.741231375,-87.716897761,Y
119512,41.741231375,-87.716897761,Y
119514,41.741231375,-87.716897761,Y
119516,41.741231375,-87.716897761,Y
120288,41.801761752,-87.63332872,Y
120290,41.801761752,-87.63332872,Y
120304,41.932186848,-87.67721556,Y
120306,41.932186848,-87.67721556,Y
120308,41.932186848,-87.67721556,Y
120374,41.878423173,-87.75514144899999,Y
120376,41.878423173,-87.75514144899999,Y
120410,41.881949478,-87.720968802,N
120412,41.881949478,-87.720968802,N
121288,41.786654178,-87.664539158,N
121290,41.786654178,-87.664539158,N
121292,41.786654178,-87.664539158,N
121294,41.786654178,-87.664539158,N
123126,41.943538484,-87.74684514299999,Y
123128,41.943538484,-87.74684514299999,Y
123969,41.877134673,-87.72540063299999,Y
123971,41.877134673,-87.72540063299999,Y
124224,41.77398485,-87.659359941,Y
124226,41.77398485,-87.659359941,Y
124681,41.961620899,-87.658496066,N
124683,41.961620899,-87.658496066,N
124685,41.961620899,-87.658496066,N
124748,41.892444151999996,-87.63720038,Y
125174,41.871257209,-87.63043638200001,N
125176,41.871257209,-87.63043638200001,N
125178,41.871257209,-87.63043638200001,N
125243,41.913920618,-87.64951978299999,Y
125245,41.913920618,-87.64951978299999,Y
125918,41.75797791,-87.63713417299999,Y
125919,41.75797791,-87.63713417299999,Y
125920,41.75797791,-87.63713417299999,Y
125921,41.75797791,-87.63713417299999,Y
125922,41.75797791,-87.63713417299999,Y
126374,41.721473548,-87.58486507799999,Y
126376,41.721473548,-87.58486507799999,Y
126409,41.870127785,-87.70947776700001,Y
127318,41.940105788000004,-87.72786818600001,Y
127320,41.940105788000004,-87.72786818600001,Y
127742,41.932366918,-87.680465311,Y
127744,41.932366918,-87.680465311,Y
127746,41.932366918,-87.680465311,Y
127748,41.932366918,-87.680465311,Y
127810,41.700816380999996,-87.62072678700001,Y
127913,41.740710968,-87.663043139,Y
127915,41.740710968,-87.663043139,Y
127961,41.73682263,-87.58578342,Y
127965,41.73682263,-87.58578342,Y
127969,41.73682263,-87.58578342,Y
127973,41.73682263,-87.58578342,Y
127977,41.73682263,-87.58578342,Y
127981,41.73682263,-87.58578342,Y
128206,41.749572593,-87.585455522,Y
128208,41.749572593,-87.585455522,Y
128210,41.749572593,-87.585455522,Y
130642,41.721324412,-87.662724153,Y
130644,41.721324412,-87.662724153,Y
130787,41.722449456999996,-87.585003569,Y
130792,41.722449456999996,-87.585003569,Y
130797,41.722449456999996,-87.585003569,Y
130802,41.722449456999996,-87.585003569,Y
130807,41.722449456999996,-87.585003569,Y
131809,41.684057136,-87.706674597,Y
132746,41.721479435,-87.65062149200001,Y
132748,41.721479435,-87.65062149200001,Y
132750,41.721479435,-87.65062149200001,Y
132752,41.752782933,-87.643024064,N
132990,41.780227262,-87.620363641,Y
132992,41.780227262,-87.620363641,Y
135268,41.903769606,-87.64336894,Y
135269,41.903769606,-87.64336894,N
135270,41.903769606,-87.64336894,Y
135271,41.903769606,-87.64336894,N
135539,41.862446507,-87.705701626,Y
135543,41.862446507,-87.705701626,Y
135547,41.862446507,-87.705701626,Y
135551,41.862446507,-87.705701626,Y
135555,41.862446507,-87.705701626,Y
136224,41.950121040999996,-87.807321954,Y
136226,41.950121040999996,-87.807321954,Y
136244,41.809813151,-87.723593525,N
136246,41.809813151,-87.723593525,N
136358,41.998184771,-87.670662562,N
136360,41.998184771,-87.670662562,N
