,ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,Lat,Lng,LOCATION,Region ID,Region Name
66,10318 S Indianapolis (Speed Camera),NB,SB,12/24/2013,41.70757690291347,-87.52984826112848,"(41.70757690291348, -87.52984826112849)",27,South Deering-East Side
67,3115 N Narragansett (Speed Camera),NB,,03/10/2014,41.93695084197675,-87.78574089058974,"(41.93695084197675, -87.78574089058974)",5,Dunning-Portage-Belmont Cragn
68,1334 W Garfield Blvd (Speed Camera),WB,,03/24/2014,41.79422646635146,-87.65870999891656,"(41.79422646635146, -87.65870999891658)",19,New City-Englewood-W Englewood
69,62 E 95th St (Speed Camera),EB,,10/12/2013,41.72187849819265,-87.62135432849777,"(41.72187849819265, -87.62135432849777)",26,Washington Hts-Roseland-Pullman
70,2115 S Western Ave (Speed Camera),NB,,04/25/2014,41.85338493884992,-87.68552968203949,"(41.85338493884992, -87.68552968203949)",14,Lawndale N/S
71,5471 W Higgins (Speed Camera),EB,WB,02/14/2014,41.96924714863935,-87.76401945149458,"(41.96924714863934, -87.76401945149458)",2,Far North West
72,5816 W Jackson (Speed Camera),EB,WB,11/06/2013,41.87718940463045,-87.77036950177559,"(41.87718940463045, -87.7703695017756)",9,Austin
73,2721 W Montrose (Speed Camera),EB,WB,11/15/2013,41.96114938287925,-87.6969640337859,"(41.96114938287925, -87.69696403378589)",3,North Park-Albany-Linconl Sq
74,3646 W Madison St (Speed Camera),EB,WB,09/10/2013,41.88093818643283,-87.71789844857645,"(41.88093818643283, -87.71789844857646)",10,Humboldt-Garfield Prk E/W
75,2705 W Irving Park (Speed Camera),EB,,11/15/2013,41.95387526461699,-87.69620408862694,"(41.95387526461699, -87.69620408862693)",6,Irving Park-Avondale-North Ctr
76,732 N Pulaski Rd (Speed Camera),NB,SB,03/24/2014,41.89450330881178,-87.72620452246954,"(41.89450330881178, -87.72620452246953)",10,Humboldt-Garfield Prk E/W
77,3047 W Jackson Blvd (Speed Camera),EB,WB,03/17/2014,41.877242773826396,-87.7029526885659,"(41.877242773826396, -87.7029526885659)",10,Humboldt-Garfield Prk E/W
78,630 State St (Speed Camera),SB,,11/25/2013,41.87382420497741,-87.62774075943143,"(41.87382420497741, -87.62774075943143)",13,Chicago Loop
79,1229 Western (Speed Camera),NB,,02/24/2014,41.90387807933294,-87.68690274176198,"(41.90387807933294, -87.68690274176198)",11,West Town-Near West
80,1635 N Ashland (Speed Camera),NB,,03/03/2014,41.911684015995846,-87.66757342998467,"(41.91168401599584, -87.66757342998466)",8,Lincoln Park-Lake View
81,5030 S Pulaski (Speed Camera),SB,,01/31/2014,41.80140191299459,-87.7235445980356,"(41.80140191299459, -87.72354459803559)",18,South West Side
82,3111 N Ashland Ave (Speed Camera),NB,,09/26/2014,41.93825330555352,-87.66846320182256,"(41.938253305553516, -87.66846320182256)",8,Lincoln Park-Lake View
83,2432 N Ashland (Speed Camera),NB,,01/25/2014,41.926207902959426,-87.66832897708694,"(41.92620790295943, -87.66832897708693)",8,Lincoln Park-Lake View
84,4707 W Peterson Ave (Speed Camera),WB,,03/17/2014,41.98980766908236,-87.74622580384674,"(41.98980766908236, -87.74622580384673)",3,North Park-Albany-Linconl Sq
85,3851 W 79th St (Speed Camera),WB,,02/10/2014,41.74937090787529,-87.71910467544157,"(41.74937090787529, -87.71910467544157)",22,Ashburn
86,2109 E 87th St (Speed Camera),EB,WB,09/18/2014,41.736987091153395,-87.57290117806257,"(41.7369870911534, -87.57290117806258)",24,South Shore-S Chicago-Avlon
87,6250 W Fullerton (Speed Camera),WB,,12/21/2013,41.92383169923362,-87.78264224184599,"(41.92383169923362, -87.78264224184598)",5,Dunning-Portage-Belmont Cragn
88,3810 W Belmont Ave (Speed Camera),WB,,04/08/2014,41.93925823071868,-87.72278142793655,"(41.93925823071868, -87.72278142793657)",6,Irving Park-Avondale-North Ctr
89,8345 S Ashland Ave (Speed Camera),NB,,10/11/2014,41.741741651401504,-87.66307332925098,"(41.741741651401504, -87.66307332925098)",23,Auburn Gresham-Chatham
90,3655 W Jackson Blvd (Speed Camera),EB,WB,09/10/2013,41.877070828463225,-87.71816831641306,"(41.87707082846323, -87.71816831641307)",10,Humboldt-Garfield Prk E/W
91,3116 N Narragansett (Speed Camera),SB,,03/10/2014,41.937004350243406,-87.78603672187927,"(41.93700435024341, -87.78603672187927)",5,Dunning-Portage-Belmont Cragn
92,4843 W Fullerton (Speed Camera),EB,WB,01/13/2014,41.92410632982652,-87.74802266359676,"(41.92410632982652, -87.74802266359677)",5,Dunning-Portage-Belmont Cragn
93,5446 W Fullerton (Speed Camera),WB,,12/12/2013,41.924128491251615,-87.76299399881006,"(41.92412849125162, -87.76299399881007)",5,Dunning-Portage-Belmont Cragn
94,5509 W Fullerton (Speed Camera),EB,,12/12/2013,41.92389747217995,-87.76390557836874,"(41.92389747217995, -87.76390557836874)",5,Dunning-Portage-Belmont Cragn
95,445 W 127th St (Speed Camera),EB,WB,10/17/2013,41.66317117223547,-87.63373364696125,"(41.66317117223548, -87.63373364696125)",28,Riverdale-Hegewisch
96,57 E 95th St (Speed Camera),WB,,10/12/2013,41.721657133174325,-87.62146289865515,"(41.72165713317433, -87.62146289865515)",26,Washington Hts-Roseland-Pullman
97,4446 N Broadway (Speed Camera),SB,,11/23/2013,41.96288063517309,-87.65602444999078,"(41.96288063517309, -87.6560244499908)",4,Edge Water-Uptown
